iter	MultiClass
0	1.680663364
1	1.486846655
2	1.326688057
3	1.19990887
4	1.093122449
5	1.00402547
6	0.9248576135
7	0.8544564194
8	0.79170773
9	0.7387200903
10	0.688386576
11	0.6425320627
12	0.6011915672
13	0.5639049498
14	0.5280069457
15	0.496262631
16	0.4665213843
17	0.4389337365
18	0.4133850943
19	0.3894043884
20	0.3676023572
21	0.3489053404
22	0.3295974592
23	0.3122849029
24	0.2955068527
25	0.2798149326
26	0.266206842
27	0.2528009827
28	0.239438173
29	0.227096927
30	0.2154715252
31	0.204506609
32	0.1941909386
33	0.184553312
34	0.175569509
35	0.1670145337
36	0.1588933223
37	0.1509877518
38	0.1440539831
39	0.137197737
40	0.1308051621
41	0.1246968029
42	0.1187114825
43	0.1132153883
44	0.1082642763
45	0.1036718331
46	0.0990147245
47	0.09436264511
48	0.09024098569
49	0.08630686653
50	0.0822808502
51	0.07860485317
52	0.07559946713
53	0.07217766346
54	0.06908939282
55	0.06652649643
56	0.06371183915
57	0.06095606998
58	0.05876992053
59	0.05660179763
60	0.05452814108
61	0.05253685372
62	0.05026693499
63	0.04829061235
64	0.0463752402
65	0.04467329722
66	0.04299361918
67	0.04143331276
68	0.03983065768
69	0.03827733308
70	0.03694660378
71	0.03572050862
72	0.03438099146
73	0.0329955205
74	0.03190457357
75	0.03075440695
76	0.02963936263
77	0.02855097238
78	0.02762636534
79	0.0267728701
80	0.02586482282
81	0.02486494987
82	0.02415524193
83	0.02338064095
84	0.0228174273
85	0.02204647782
86	0.02136893117
87	0.02067744355
88	0.02001877011
89	0.01946643182
90	0.01896591134
91	0.01833852767
92	0.01784760316
93	0.01734371324
94	0.0169141217
95	0.016411946
96	0.01595025459
97	0.01548668936
98	0.01507543647
99	0.01463190964
100	0.01425372401
101	0.01391641194
102	0.0135904109
103	0.0132234605
104	0.01295779136
105	0.01259969305
106	0.01229269314
107	0.01197653867
108	0.01165188767
109	0.01142163541
110	0.0110453108
111	0.010763701
112	0.01058622577
113	0.01034133654
114	0.01015203288
115	0.00995647646
116	0.009764007714
117	0.00959696915
118	0.009419066311
119	0.00919747457
120	0.008913296047
121	0.008637213393
122	0.008357440421
123	0.008166345498
124	0.008031822104
125	0.00778073866
126	0.007644507969
127	0.007478851179
128	0.007265108227
129	0.007157884671
130	0.006981079042
131	0.006828504212
132	0.006640266107
133	0.006445545463
134	0.006321052943
135	0.006174427393
136	0.006011625218
137	0.005934619558
138	0.005767956021
139	0.005663361196
140	0.005574978321
141	0.00550457805
142	0.005366620723
143	0.005221843356
144	0.005133418851
145	0.005052757543
146	0.004969341767
147	0.004919338028
148	0.004800057058
149	0.004723496204
150	0.004656951105
151	0.004599806138
152	0.004483035809
153	0.004418778928
154	0.004318921382
155	0.004254786954
156	0.004196292558
157	0.004135427793
158	0.004086418598
159	0.003997552593
160	0.003958374953
161	0.003873914279
162	0.00379085918
163	0.003739805976
164	0.003692995627
165	0.003647277957
166	0.003572895114
167	0.003501073749
168	0.003463609537
169	0.003395331705
170	0.003355749194
171	0.00331704114
172	0.003290448927
173	0.003227453107
174	0.003166538276
175	0.003107617684
176	0.003073700271
177	0.003009192509
178	0.002955060333
179	0.00290264472
180	0.002851876202
181	0.002794835665
182	0.002747306873
183	0.002719693095
184	0.002674306592
185	0.002647980584
186	0.002622168171
187	0.002579429066
188	0.002537956964
189	0.002490606312
190	0.002467341522
191	0.002451565809
192	0.002413516583
193	0.002376556836
194	0.002350437939
195	0.002329479596
196	0.002288192889
197	0.002254433908
198	0.002221606841
199	0.00218360099
200	0.002152632372
201	0.002134540488
202	0.00211676306
203	0.002099291834
204	0.002070276366
205	0.002036419134
206	0.00202007436
207	0.001992976077
208	0.001966575075
209	0.001940847382
210	0.001925795327
211	0.001901011931
212	0.001886515819
213	0.001872253336
214	0.001860165235
215	0.001846312591
216	0.001832677966
217	0.001819256078
218	0.001806041818
219	0.00179303024
220	0.001781969656
221	0.00175528229
222	0.00174293311
223	0.001730768189
224	0.001717324926
225	0.0017055291
226	0.00169390497
227	0.001682448664
228	0.00167115643
229	0.0016514248
230	0.001640510199
231	0.001629748709
232	0.001619136997
233	0.001608671825
234	0.001590163349
235	0.001580038372
236	0.001562128298
237	0.001552327851
238	0.001542658426
239	0.001525487359
240	0.001516122193
241	0.001506879791
242	0.001497757641
243	0.001488753297
244	0.001472585803
245	0.001463857239
246	0.001454113955
247	0.001445613217
248	0.001437218623
249	0.001427847383
250	0.001412785921
251	0.001404749581
252	0.001396811033
253	0.00138896841
254	0.001381219896
255	0.001373563719
256	0.001365998153
257	0.001358521517
258	0.001351132173
259	0.001342842479
260	0.001334656719
261	0.001327534101
262	0.001319073209
263	0.001312123976
264	0.001305252697
265	0.001298458002
266	0.001291738553
267	0.001284170056
268	0.001277603761
269	0.001271108811
270	0.001263784249
271	0.001257434672
272	0.001250269767
273	0.001244060609
274	0.001237916864
275	0.001231837453
276	0.001225821322
277	0.001219867441
278	0.001213974802
279	0.00120814242
280	0.001201534897
281	0.001194615714
282	0.00118897412
283	0.001183388872
284	0.001177859092
285	0.001172383919
286	0.001166962509
287	0.001161594039
288	0.001154877647
289	0.001146872954
290	0.001141687526
291	0.001136551629
292	0.001130378674
293	0.00112402886
294	0.001119055713
295	0.00111412902
296	0.001109248102
297	0.001101828141
298	0.001097053413
299	0.001092322369
